Raman Shift (cm-1),E10_a,E50_a,EM2_b,Ethanol,EM3_a,EM6_b,EM4_a,EM3_b,EM1_b,E70_a,Methanol,EM1_a,E40_a,EM2_a,E80_a,E30_a,EM8_b,E5_a,E90_a,EM6_a,EM9_a,EM4_b,EM9_b,EM5_a,EMX,EMX_b
1362.3,-68.492,10.742,589.444,524.315,1191.722,810.178,1114.322,711.911,317.044,52.742,710.535,696.589,67.575,1099.189,39.678,-50.525,1151.911,21.775,164.075,1480.822,1726.922,735.944,1123.644,1156.022,2042.456,1751.844
1374.2,-62.233,-7.3,559.611,485.58,1001.889,710.778,930.122,656.144,252.278,20.433,600.165,580.422,28.533,1015.989,52.887,-33.533,1043.344,-17.433,115.5,1295.422,1481.622,635.778,1004.944,1021.356,1764.256,1591.244
1386.1,-43.75,-11.45,491.322,428.155,944.267,707.256,849.222,658.222,230.722,51.417,539.619,526.533,45.75,958.233,49.738,-49.717,959.122,3.15,123.817,1182.956,1403.256,559.222,893.856,926.589,1610.089,1491.189
1398.0,-63.758,-30.792,483.539,461.307,926.422,649.639,828.589,583.539,253.472,52.108,475.703,521.089,65.942,944.089,35.737,-64.892,943.972,35.842,104.842,1184.122,1389.822,577.472,807.239,926.689,1538.956,1445.406
1409.9,-23.108,-11.608,480.283,494.355,1037.289,634.317,887.811,599.917,304.95,70.058,399.619,596.689,87.792,1036.156,46.129,-22.042,941.817,31.358,121.392,1223.544,1419.244,561.017,781.517,959.878,1670.044,1350.417
1421.7,-64.125,18.642,509.161,494.802,907.167,647.761,853.211,644.161,295.828,41.808,464.884,613.467,107.775,990.7,38.294,-19.925,874.528,21.842,207.875,1115.344,1263.911,573.528,780.728,903.644,1485.544,1410.994
1433.5,-2.783,79.517,552.25,564.59,1068.422,612.217,894.622,666.95,351.483,133.35,406.043,693.456,157.483,1081.589,69.215,5.25,910.35,39.283,278.717,1184.456,1265.789,567.483,744.55,963.389,1501.656,1407.05
1445.3,-35.483,126.917,641.106,706.993,1218.933,682.139,1005.533,730.039,446.439,176.283,396.159,824.133,170.55,1279.933,74.468,10.85,900.139,-15.817,448.783,1225.1,1294.867,659.472,732.339,1038.367,1605.0,1426.672
1457.1,-5.45,296.55,843.539,998.695,1591.844,767.872,1282.744,973.906,754.472,331.317,407.718,1217.611,330.75,1719.011,98.692,127.183,935.572,31.45,882.75,1382.678,1264.844,814.472,773.472,1240.344,1723.978,1544.339
1468.8,45.075,519.475,1037.122,1395.032,1814.733,850.056,1478.633,1212.689,1037.222,569.208,420.389,1473.133,509.508,1971.867,144.074,245.608,971.222,31.375,1336.408,1523.933,1303.4,969.856,809.589,1421.833,1831.933,1620.189
