Raman Shift (cm-1),EM5_a,EM6_a,Methanol,E60_a,E5_a,E50_a,E30_a,EM1_a,EM8_a,E90_a,Ethanol,EM3_a,E40_a,E20_a,EM2_a,EM9_a,EMX
1421.7,0.04053604481209129,0.04452157902002931,0.03140314702772157,0.007220151945449895,0.02377726350108013,0.002148070016784351,0.0,0.030523634590884273,0.04745289130463333,0.009939629655669822,0.027554653609754023,0.03444050982643552,0.013541713237564269,0.0,0.03698382862831462,0.04870210961277196,0.05169861959951999
1433.5,0.04321908037296564,0.047284028584719855,0.02742234954377964,0.01222684430526596,0.0424045088987905,0.009351924359871372,0.0028255110703364664,0.03451006152227426,0.049354989558229624,0.01339748179343661,0.03144889479301336,0.04056929658944759,0.01974771153862993,0.015206112605271325,0.04038023475515894,0.0487744599138816,0.05225982108282913
1445.3,0.04658620131018967,0.04890855094778755,0.02674406451921439,0.01910428288026657,0.0,0.014962151976287839,0.003910262430371595,0.04102263590735542,0.051780569836903614,0.021702160276695897,0.03939512664032315,0.04628973827776716,0.02138316258933204,0.0038316874253628425,0.047792097328448684,0.049896173601386824,0.05585992324055358
1457.1,0.055656608447939016,0.0552071768450069,0.02751302694184864,0.03954742867572701,0.033879246282059565,0.03507435290296754,0.028826325922247667,0.06063247348961648,0.05291777468988724,0.04289421293443672,0.055672394143303244,0.06046289260980946,0.04137615332488165,0.035212554786598654,0.06419988277326874,0.048737798116451306,0.06000466696502607
1468.8,0.06380693804451047,0.060853337317512426,0.028358295160263194,0.06121761033004736,0.0337168266449547,0.06151184941715058,0.054201149671802444,0.07336697177881246,0.0555608404909207,0.06504931666642919,0.07778840079282906,0.0689341905741152,0.06368548647692249,0.06357855685099176,0.07364878933549,0.05022516864884493,0.06376540250299834
1480.6,0.05751032577039778,0.057585748033955504,0.023460061191413632,0.045824366670229114,0.03834884094247472,0.0475712050308259,0.04699453250253654,0.05808469668299532,0.05602826822112342,0.04688827970364429,0.06795006812325868,0.05881765417818881,0.05529409932916272,0.045622050078135475,0.062085223930834106,0.0545224025458213,0.06540808363330167
1492.3,0.04721388206464725,0.050133034542682524,0.02950925154137751,0.024989688786676956,0.03329300173025096,0.02141405572411539,0.013699596641719504,0.041919705289686436,0.04825453590007704,0.02653739137304701,0.046049788171687055,0.04566771894467859,0.03305841322964721,0.016701615010269982,0.046994910277902306,0.04891109982691642,0.06033300783238957
1504.0,0.045376152014720915,0.049941542130792944,0.030683410404558173,0.017760971447839634,0.028402783714110594,0.014739550195562709,0.014817604241457932,0.03642101867169781,0.05169459195334459,0.019637549576297406,0.03903688406787771,0.041770729559525224,0.022255285403472144,0.010128376816974151,0.04488234408945937,0.05208910279764498,0.06074089170498219
1515.7,0.04796537451623246,0.05178902915417874,0.028531976402683845,0.014578183611526921,0.020163502668737912,0.008122263570604648,0.0121569027626837,0.03993065321390737,0.05413543780827596,0.017452588935619157,0.03828044550474159,0.04640968771328088,0.025419579813071844,0.01878486570419091,0.04724236597193418,0.054071564519296664,0.06644905005371952
1527.3,0.046914030537821394,0.054505230940750146,0.03027482274122161,0.017661269608414434,0.0796895816311413,0.019329494322076014,0.015722815000829633,0.03869857821328039,0.05720256368197191,0.01954306308168588,0.03848021312532013,0.04893630385591223,0.028478089737341786,0.034112948694181446,0.046774434781285124,0.05773482089732648,0.0715742461423269
1539.0,0.04681972348282557,0.05049859655332016,0.03611326909975139,0.01765586220644365,0.021094906257040715,0.014705081108174813,0.008390255308193862,0.03733084638343989,0.053289798748187414,0.018078488089105796,0.03593797469734057,0.04375935941857859,0.02157480935792753,0.008851838699258076,0.04421176228925863,0.05516273688639669,0.0657122374807838
1550.6,0.050354486429627074,0.0534821720598133,0.03823500204629654,0.020586591835577123,0.03723004135191779,0.018543504198903,0.006518576064664098,0.041244162159891046,0.057209350441262075,0.02171921391945621,0.03874515632024798,0.04781422904799289,0.026414271059776742,0.018476585190312325,0.04710245744927508,0.057589712025167085,0.06482885332833303
